"","weighting","measurement","Learners","Size"
"1","stacking",2.46166933158487,"elnet",0
"2","stacking",2.43955585719154,"elnet",0
"3","stacking",2.43800926599292,"elnet",0
"4","stacking",2.4498304492595,"elnet",0
"5","stacking",2.48759308605469,"elnet",0
"6","stacking",2.45091412809633,"elnet",0
"7","stacking",2.45818639684848,"elnet",0
"8","stacking",2.48875732442645,"elnet",0
"9","stacking",2.49187703533718,"elnet",0
"10","stacking",2.46445275258958,"elnet",0
"11","stacking",2.44252396297191,"elnet",0
"12","stacking",2.45938228352336,"elnet",0
"13","stacking",2.44388658255823,"elnet",0
"14","stacking",2.435651923642,"elnet",0
"15","stacking",2.42561004918787,"elnet",0
"16","stacking",2.46511736506443,"elnet",0
"17","stacking",2.4448312509578,"elnet",0
"18","stacking",2.4513755648795,"elnet",0
"19","stacking",2.45786438224756,"elnet",0
"20","stacking",2.43879058892185,"elnet",0
"21","stacking",2.43419281818394,"elnet",0
"22","stacking",2.41317414852722,"elnet",0
"23","stacking",2.46594340389326,"elnet",0
"24","stacking",2.4360828342576,"elnet",0
"25","stacking",2.47825636820363,"elnet",0
"26","stacking",2.4365786000286,"elnet",0
"27","stacking",2.46060768488401,"elnet",0
"28","stacking",2.48928663072338,"elnet",0
"29","stacking",2.46260912770271,"elnet",0
"30","stacking",2.43388466074762,"elnet",0
"31","stacking",2.42370326649019,"elnet",0
"32","stacking",2.47673890227839,"elnet",0
"33","stacking",2.42525013587648,"elnet",0
"34","stacking",2.44962014915917,"elnet",0
"35","stacking",2.46123686590887,"elnet",0
"36","stacking",2.44693460285264,"elnet",0
"37","stacking",2.41313396242026,"elnet",0
"38","stacking",2.46156964454112,"elnet",0
"39","stacking",2.47769914420203,"elnet",0
"40","stacking",2.45770043051919,"elnet",0
"41","stacking",2.4479940272311,"elnet",0
"42","stacking",2.44310070788622,"elnet",0
"43","stacking",2.47584017187712,"elnet",0
"44","stacking",2.42589667591969,"elnet",0
"45","stacking",2.46171519814972,"elnet",0
"46","stacking",2.46877313169616,"elnet",0
"47","stacking",2.41085071045339,"elnet",0
"48","stacking",2.46193327881631,"elnet",0
"49","stacking",2.4251894505586,"elnet",0
"50","stacking",2.49170440934896,"elnet",0
"51","stacking_norm",2.46249062699415,"elnet",0
"52","stacking_norm",2.44120528420304,"elnet",0
"53","stacking_norm",2.43976182716179,"elnet",0
"54","stacking_norm",2.45006868924927,"elnet",0
"55","stacking_norm",2.48768399845768,"elnet",0
"56","stacking_norm",2.45065852403703,"elnet",0
"57","stacking_norm",2.45911151471714,"elnet",0
"58","stacking_norm",2.48775988500217,"elnet",0
"59","stacking_norm",2.49095412436006,"elnet",0
"60","stacking_norm",2.46459718794913,"elnet",0
"61","stacking_norm",2.43794287949445,"elnet",0
"62","stacking_norm",2.4595789091769,"elnet",0
"63","stacking_norm",2.44463639420649,"elnet",0
"64","stacking_norm",2.43802413090221,"elnet",0
"65","stacking_norm",2.42795955661204,"elnet",0
"66","stacking_norm",2.46245496764273,"elnet",0
"67","stacking_norm",2.44511609050985,"elnet",0
"68","stacking_norm",2.45281819240895,"elnet",0
"69","stacking_norm",2.45895485124832,"elnet",0
"70","stacking_norm",2.43611140487066,"elnet",0
"71","stacking_norm",2.43387484520937,"elnet",0
"72","stacking_norm",2.4144466789671,"elnet",0
"73","stacking_norm",2.46621203351213,"elnet",0
"74","stacking_norm",2.43885879482536,"elnet",0
"75","stacking_norm",2.47738051159593,"elnet",0
"76","stacking_norm",2.43349943092412,"elnet",0
"77","stacking_norm",2.46212343990464,"elnet",0
"78","stacking_norm",2.48933356201211,"elnet",0
"79","stacking_norm",2.46219320693594,"elnet",0
"80","stacking_norm",2.43496624584084,"elnet",0
"81","stacking_norm",2.42303071196895,"elnet",0
"82","stacking_norm",2.47690714563964,"elnet",0
"83","stacking_norm",2.42554467198113,"elnet",0
"84","stacking_norm",2.44762775617456,"elnet",0
"85","stacking_norm",2.46112506375663,"elnet",0
"86","stacking_norm",2.44662549535735,"elnet",0
"87","stacking_norm",2.41485128188761,"elnet",0
"88","stacking_norm",2.4603477507444,"elnet",0
"89","stacking_norm",2.47542595936569,"elnet",0
"90","stacking_norm",2.45778180641088,"elnet",0
"91","stacking_norm",2.44967569786236,"elnet",0
"92","stacking_norm",2.44297563446611,"elnet",0
"93","stacking_norm",2.47547059038583,"elnet",0
"94","stacking_norm",2.4284868118104,"elnet",0
"95","stacking_norm",2.46270463985028,"elnet",0
"96","stacking_norm",2.4693793389137,"elnet",0
"97","stacking_norm",2.40815278916786,"elnet",0
"98","stacking_norm",2.46278576550823,"elnet",0
"99","stacking_norm",2.42657372616212,"elnet",0
"100","stacking_norm",2.49100717145625,"elnet",0
"101","stacking_wz",2.46845029068036,"elnet",0
"102","stacking_wz",2.4438802461828,"elnet",0
"103","stacking_wz",2.44193187163419,"elnet",0
"104","stacking_wz",2.45964955675178,"elnet",0
"105","stacking_wz",2.50568657574779,"elnet",0
"106","stacking_wz",2.46154345703092,"elnet",0
"107","stacking_wz",2.46794547533922,"elnet",0
"108","stacking_wz",2.5093060978327,"elnet",0
"109","stacking_wz",2.51351618194275,"elnet",0
"110","stacking_wz",2.47555582622635,"elnet",0
"111","stacking_wz",2.45529420713364,"elnet",0
"112","stacking_wz",2.46970974340039,"elnet",0
"113","stacking_wz",2.44950514667541,"elnet",0
"114","stacking_wz",2.4393433036689,"elnet",0
"115","stacking_wz",2.42847898624422,"elnet",0
"116","stacking_wz",2.47980627764431,"elnet",0
"117","stacking_wz",2.45272033885837,"elnet",0
"118","stacking_wz",2.45671249865657,"elnet",0
"119","stacking_wz",2.46460514030946,"elnet",0
"120","stacking_wz",2.44906373421662,"elnet",0
"121","stacking_wz",2.44314104005409,"elnet",0
"122","stacking_wz",2.4164534095025,"elnet",0
"123","stacking_wz",2.47737371935789,"elnet",0
"124","stacking_wz",2.43944068065309,"elnet",0
"125","stacking_wz",2.49444181215177,"elnet",0
"126","stacking_wz",2.4478353832379,"elnet",0
"127","stacking_wz",2.46836431853488,"elnet",0
"128","stacking_wz",2.50568647981326,"elnet",0
"129","stacking_wz",2.47343457896546,"elnet",0
"130","stacking_wz",2.43929319932169,"elnet",0
"131","stacking_wz",2.42985515655062,"elnet",0
"132","stacking_wz",2.48827046941275,"elnet",0
"133","stacking_wz",2.43064555977391,"elnet",0
"134","stacking_wz",2.46199744620153,"elnet",0
"135","stacking_wz",2.47291764399714,"elnet",0
"136","stacking_wz",2.45600010559224,"elnet",0
"137","stacking_wz",2.41578042477727,"elnet",0
"138","stacking_wz",2.47671701489288,"elnet",0
"139","stacking_wz",2.49717354212708,"elnet",0
"140","stacking_wz",2.4670393204895,"elnet",0
"141","stacking_wz",2.45564241086089,"elnet",0
"142","stacking_wz",2.45291469791529,"elnet",0
"143","stacking_wz",2.49300004284955,"elnet",0
"144","stacking_wz",2.42511816009569,"elnet",0
"145","stacking_wz",2.46955700592917,"elnet",0
"146","stacking_wz",2.47426528063362,"elnet",0
"147","stacking_wz",2.41840615268257,"elnet",0
"148","stacking_wz",2.46976192700007,"elnet",0
"149","stacking_wz",2.43121668665914,"elnet",0
"150","stacking_wz",2.50471775874336,"elnet",0
"151","simp_avg",2.46130536762999,"elnet",0
"152","simp_avg",2.43613585251956,"elnet",0
"153","simp_avg",2.43592337097837,"elnet",0
"154","simp_avg",2.44842453212227,"elnet",0
"155","simp_avg",2.48807069675456,"elnet",0
"156","simp_avg",2.44859258366134,"elnet",0
"157","simp_avg",2.46191559146906,"elnet",0
"158","simp_avg",2.48826061651904,"elnet",0
"159","simp_avg",2.48808253868411,"elnet",0
"160","simp_avg",2.46140888861256,"elnet",0
"161","simp_avg",2.43609115305333,"elnet",0
"162","simp_avg",2.4612819340407,"elnet",0
"163","simp_avg",2.44857218045369,"elnet",0
"164","simp_avg",2.43623501864881,"elnet",0
"165","simp_avg",2.42359131182265,"elnet",0
"166","simp_avg",2.46170017685525,"elnet",0
"167","simp_avg",2.44883567044406,"elnet",0
"168","simp_avg",2.44885770216145,"elnet",0
"169","simp_avg",2.46132934523395,"elnet",0
"170","simp_avg",2.43576610447405,"elnet",0
"171","simp_avg",2.43595627852738,"elnet",0
"172","simp_avg",2.41207406469533,"elnet",0
"173","simp_avg",2.46141514802053,"elnet",0
"174","simp_avg",2.4360143325482,"elnet",0
"175","simp_avg",2.47429793659061,"elnet",0
"176","simp_avg",2.43583119069547,"elnet",0
"177","simp_avg",2.46178897858572,"elnet",0
"178","simp_avg",2.48797491302532,"elnet",0
"179","simp_avg",2.46164415826607,"elnet",0
"180","simp_avg",2.43603497190849,"elnet",0
"181","simp_avg",2.42367280054568,"elnet",0
"182","simp_avg",2.4745510678064,"elnet",0
"183","simp_avg",2.42383243899097,"elnet",0
"184","simp_avg",2.4486737635272,"elnet",0
"185","simp_avg",2.46142214212135,"elnet",0
"186","simp_avg",2.44884220290337,"elnet",0
"187","simp_avg",2.41213304695223,"elnet",0
"188","simp_avg",2.46188131567628,"elnet",0
"189","simp_avg",2.47460927323049,"elnet",0
"190","simp_avg",2.46142251511367,"elnet",0
"191","simp_avg",2.44882809546186,"elnet",0
"192","simp_avg",2.4483299367826,"elnet",0
"193","simp_avg",2.47495629472331,"elnet",0
"194","simp_avg",2.42361245535046,"elnet",0
"195","simp_avg",2.46156298445489,"elnet",0
"196","simp_avg",2.46154474070358,"elnet",0
"197","simp_avg",2.41210522515024,"elnet",0
"198","simp_avg",2.4614152985776,"elnet",0
"199","simp_avg",2.42382490329246,"elnet",0
"200","simp_avg",2.48801227436053,"elnet",0
"201","merge",2.47400679388264,"elnet",0
"202","merge",2.45728654231815,"elnet",0
"203","merge",2.45100648902085,"elnet",0
"204","merge",2.45665812813207,"elnet",0
"205","merge",2.49961462345023,"elnet",0
"206","merge",2.45866426532162,"elnet",0
"207","merge",2.4657105966434,"elnet",0
"208","merge",2.50015486040775,"elnet",0
"209","merge",2.50157059608886,"elnet",0
"210","merge",2.47260256378595,"elnet",0
"211","merge",2.45279360063457,"elnet",0
"212","merge",2.47311701495374,"elnet",0
"213","merge",2.45321373894871,"elnet",0
"214","merge",2.44594875297529,"elnet",0
"215","merge",2.44114918832919,"elnet",0
"216","merge",2.47770701176179,"elnet",0
"217","merge",2.45345894905484,"elnet",0
"218","merge",2.45624108652415,"elnet",0
"219","merge",2.46938769492575,"elnet",0
"220","merge",2.44783300038266,"elnet",0
"221","merge",2.44351665484989,"elnet",0
"222","merge",2.4261077396063,"elnet",0
"223","merge",2.47592258787061,"elnet",0
"224","merge",2.4480758704826,"elnet",0
"225","merge",2.48431506028166,"elnet",0
"226","merge",2.44808278678802,"elnet",0
"227","merge",2.46958404236595,"elnet",0
"228","merge",2.49772549932164,"elnet",0
"229","merge",2.47373733956127,"elnet",0
"230","merge",2.4481781592911,"elnet",0
"231","merge",2.43280804586077,"elnet",0
"232","merge",2.48497013605461,"elnet",0
"233","merge",2.43271032447075,"elnet",0
"234","merge",2.45977118452373,"elnet",0
"235","merge",2.48406558532543,"elnet",0
"236","merge",2.45644655904703,"elnet",0
"237","merge",2.42395864310227,"elnet",0
"238","merge",2.47157528309388,"elnet",0
"239","merge",2.48676362881569,"elnet",0
"240","merge",2.46866243809997,"elnet",0
"241","merge",2.45685192231913,"elnet",0
"242","merge",2.45084518222529,"elnet",0
"243","merge",2.48039543866137,"elnet",0
"244","merge",2.43800149797874,"elnet",0
"245","merge",2.46918374169584,"elnet",0
"246","merge",2.47646345792037,"elnet",0
"247","merge",2.42551874166859,"elnet",0
"248","merge",2.47062957252161,"elnet",0
"249","merge",2.43552055967285,"elnet",0
"250","merge",2.50026311350931,"elnet",0
"251","stacking",2.46578070272621,"Nnet",0
"252","stacking",2.44852331566697,"Nnet",0
"253","stacking",2.44265515779211,"Nnet",0
"254","stacking",2.45562654323136,"Nnet",0
"255","stacking",2.49300495311754,"Nnet",0
"256","stacking",2.4572719166172,"Nnet",0
"257","stacking",2.46217708631887,"Nnet",0
"258","stacking",2.49338865225299,"Nnet",0
"259","stacking",2.4975289324923,"Nnet",0
"260","stacking",2.47006732775335,"Nnet",0
"261","stacking",2.4480474348531,"Nnet",0
"262","stacking",2.46349868488391,"Nnet",0
"263","stacking",2.44995194894392,"Nnet",0
"264","stacking",2.44108193277342,"Nnet",0
"265","stacking",2.43091261106291,"Nnet",0
"266","stacking",2.4705255108766,"Nnet",0
"267","stacking",2.45105740279489,"Nnet",0
"268","stacking",2.45671749925853,"Nnet",0
"269","stacking",2.46362936768723,"Nnet",0
"270","stacking",2.44428015548051,"Nnet",0
"271","stacking",2.4376278358127,"Nnet",0
"272","stacking",2.42697806041473,"Nnet",0
"273","stacking",2.46860618148652,"Nnet",0
"274","stacking",2.43964516816137,"Nnet",0
"275","stacking",2.48155788793557,"Nnet",0
"276","stacking",2.44079606225331,"Nnet",0
"277","stacking",2.47216500134441,"Nnet",0
"278","stacking",2.49445534618876,"Nnet",0
"279","stacking",2.46646983450097,"Nnet",0
"280","stacking",2.44072444257802,"Nnet",0
"281","stacking",2.43439521829363,"Nnet",0
"282","stacking",2.47926980822555,"Nnet",0
"283","stacking",2.43415250722639,"Nnet",0
"284","stacking",2.45431714053894,"Nnet",0
"285","stacking",2.46363115836963,"Nnet",0
"286","stacking",2.45436246218794,"Nnet",0
"287","stacking",2.42093076912213,"Nnet",0
"288","stacking",2.4689661249462,"Nnet",0
"289","stacking",2.48376470866011,"Nnet",0
"290","stacking",2.46102768861353,"Nnet",0
"291","stacking",2.45144181340048,"Nnet",0
"292","stacking",2.45088587358542,"Nnet",0
"293","stacking",2.48100051317421,"Nnet",0
"294","stacking",2.43004679960664,"Nnet",0
"295","stacking",2.46781883485679,"Nnet",0
"296","stacking",2.47444542240498,"Nnet",0
"297","stacking",2.42746640506851,"Nnet",0
"298","stacking",2.46933106146701,"Nnet",0
"299","stacking",2.43179259187741,"Nnet",0
"300","stacking",2.49765187009243,"Nnet",0
"301","stacking_norm",2.46652738653722,"Nnet",0
"302","stacking_norm",2.45197671199998,"Nnet",0
"303","stacking_norm",2.4443270750227,"Nnet",0
"304","stacking_norm",2.45636200448331,"Nnet",0
"305","stacking_norm",2.49312527628704,"Nnet",0
"306","stacking_norm",2.45953697883328,"Nnet",0
"307","stacking_norm",2.46386898542263,"Nnet",0
"308","stacking_norm",2.49284957307531,"Nnet",0
"309","stacking_norm",2.49703381280899,"Nnet",0
"310","stacking_norm",2.47070824290328,"Nnet",0
"311","stacking_norm",2.44442228803644,"Nnet",0
"312","stacking_norm",2.46389379264991,"Nnet",0
"313","stacking_norm",2.45088583781336,"Nnet",0
"314","stacking_norm",2.44510704520235,"Nnet",0
"315","stacking_norm",2.43259759191185,"Nnet",0
"316","stacking_norm",2.46773869777367,"Nnet",0
"317","stacking_norm",2.45211535784973,"Nnet",0
"318","stacking_norm",2.45861260278994,"Nnet",0
"319","stacking_norm",2.46500930497583,"Nnet",0
"320","stacking_norm",2.44450077394754,"Nnet",0
